FID,community_id,NEAR_FID,NEAR_DIST,lon,lat
318,159,0,0,114.12316979540091,22.50899467482669
319,159,0,0,114.12543620840583,22.509607216898168
320,160,0,0,114.14742121257095,22.497225503558806
321,160,0,0,114.13919457277949,22.497199914731887
322,161,0,0,114.12429990308748,22.503898206129705
323,161,0,0,114.11886569977094,22.50437389929919
324,162,0,0,114.12725698594309,22.498699009815486
325,162,0,0,114.12604778605443,22.493468364936046
326,163,0,0,114.14786879057743,22.486536405019443
327,163,0,0,114.13773185809107,22.487577804860557
328,164,0,0,114.16375683605487,22.48868075111956
329,164,0,0,114.15632365123587,22.482838640321603
330,165,0,0,114.16212080048928,22.489463622915704
331,165,0,0,114.16368014914428,22.508065045337847
332,166,0,0,114.15371979733716,22.553719021167424
333,166,0,0,114.16126621843232,22.54298267556338
334,167,0,0,114.20828569804111,22.534251478233188
335,167,0,0,114.29790419272719,22.511012364046973
336,168,0,0,114.30315775815777,22.482594064442388
337,168,0,0,114.21653871262916,22.495989517485086
338,169,0,0,114.15357270207778,22.44859262238249
339,169,0,0,114.1466632135077,22.442832983228143
340,170,0,0,114.19178103904993,22.47284477238815
341,170,0,0,114.18125874290439,22.464403527954865
342,171,0,0,114.1630902196717,22.442479208706335
343,171,0,0,114.15876747007421,22.44730093488948
344,172,0,0,114.13757737311306,22.431053455402505
345,172,0,0,114.16562906291632,22.41661006959454
346,173,0,0,114.15425394860496,22.432791831013304
347,173,0,0,114.16944219513698,22.43726323745791
348,174,0,0,114.17339474075327,22.452896973437152
349,174,0,0,114.17710111768454,22.452295016166605
350,175,0,0,114.2021979707834,22.429209840441427
351,175,0,0,114.18176678479334,22.435752065566486
352,176,0,0,114.1603303648582,22.379632794511675
353,176,0,0,114.16971997336657,22.382403930648746
354,177,0,0,114.20210880070552,22.414575725153348
355,177,0,0,114.18050666473029,22.408851448253678
356,178,0,0,114.30973231241538,22.453718846974365
357,178,0,0,114.27061352575932,22.403831166394856
358,179,0,0,114.19916992784113,22.373824182363773
359,179,0,0,114.19494579404828,22.38321442256151
360,180,0,0,114.21522067880038,22.388363433232016
361,180,0,0,114.19507352798087,22.362668663629247
362,181,0,0,114.24671901031681,22.403414271839626
363,181,0,0,114.2602132645563,22.426440901505153
364,182,0,0,114.19985651426397,22.39194803295864
365,182,0,0,114.1926213301195,22.388172230987443
366,183,0,0,114.16909176870972,22.35806108004389
367,183,0,0,114.18365465548261,22.374906127533915
368,184,0,0,114.32801179720447,22.409893987271367
369,184,0,0,114.31021092447614,22.36134451426245
370,185,0,0,114.25384878387285,22.347234442238623
371,185,0,0,114.24574848095574,22.353928371846767
372,186,0,0,114.27029428879744,22.357950071972972
373,186,0,0,114.27550280141125,22.360342777298303
374,187,0,0,114.27586005265985,22.398306622473765
375,187,0,0,114.29249932171896,22.39290902277427
376,188,0,0,114.25946841986007,22.35485492020014
377,188,0,0,114.26101905615099,22.35021029346141
378,189,0,0,114.24862055712534,22.37793988043189
379,189,0,0,114.23945398837677,22.36122856983265
380,190,0,0,114.26790596225412,22.384245172346525
381,190,0,0,114.266443837538,22.381875741101396
382,191,0,0,114.27177101970295,22.377495009200118
383,191,0,0,114.27154189789823,22.382311031096922
384,192,0,0,114.2731068554061,22.375538118500753
385,192,0,0,114.26721249733362,22.37942311064915
386,193,0,0,114.24029308035298,22.331198798075604
387,193,0,0,114.29971805693195,22.325865306215082
388,194,0,0,114.29880714990581,22.2666991510195
389,194,0,0,114.30824464394166,22.30156288773183
390,195,0,0,114.2542140451718,22.30752946629136
391,195,0,0,114.24965223837893,22.304448140463617
392,196,0,0,114.25164820811933,22.31692721963858
393,196,0,0,114.2460692403261,22.3062852439469
394,197,0,0,114.2461601623605,22.322379211294564
395,197,0,0,114.24626742494345,22.325529975826882
396,198,0,0,114.26739730889769,22.323034670195444
397,198,0,0,114.26824682793941,22.31403158617856
398,199,0,0,114.26240744611833,22.314231292678212
399,199,0,0,114.25939569482074,22.31086910055236
400,200,0,0,114.26895930402448,22.285661199145228
401,200,0,0,114.27130628373669,22.302267094736678
402,201,0,0,114.1151190656247,22.225970689990085
403,201,0,0,114.13723281469362,22.195914784915104
404,202,0,0,114.03097325268511,22.216348696459235
405,202,0,0,114.02896621789793,22.221437090679288
406,203,0,0,114.00038356229837,22.22233550102544
407,203,0,0,113.98390703173861,22.250481004499733
408,204,0,0,113.85380895782951,22.23804215353319
409,204,0,0,113.87749148720363,22.26595293563966
410,205,0,0,113.86670593822548,22.246733308147668
411,205,0,0,113.85370126035754,22.25390856583205
412,206,0,0,113.93706957364884,22.320426779773015
413,206,0,0,113.92121192194416,22.259902889007083
414,207,0,0,113.96895521236378,22.290369043896973
415,207,0,0,114.00842785503133,22.276976711789573
416,208,0,0,114.0134564309843,22.309495617818627
417,208,0,0,114.05118891594685,22.33742705223828
418,209,0,0,114.06303601864275,22.348421370756288
419,209,0,0,114.06178494584611,22.34580491888318
420,210,0,0,114.03952635921448,22.281513513992714
421,210,0,0,114.0382358142615,22.29083881778727
